strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;2;256;32;10;1;1;0,0217455;0,0217455;;;;
cols;cols;2;256;64;1;1;1;0,0076188;0,0076188;;;;
cols;cols;2;256;64;2;1;1;0,0158738;0,0158738;;;;
cols;cols;2;256;64;5;1;1;0,0293272;0,0293272;;;;
cols;cols;2;256;64;10;1;1;0,0497409;0,0497409;;;;
cols;cols;2;256;256;1;1;1;0,0330994;0,0330994;;;;
cols;cols;2;256;256;2;1;1;0,0563344;0,0563344;;;;
cols;cols;2;256;256;5;1;1;0,105751;0,105751;;;;
cols;cols;2;256;256;10;1;1;0,2425;0,2425;;;;
cols;cols;2;256;512;1;1;1;0,0523258;0,0523258;;;;
cols;cols;2;256;512;2;1;1;0,0879629;0,0879629;;;;
cols;cols;2;256;512;5;1;1;0,21265;0,21265;;;;
cols;cols;2;256;512;10;1;1;0,428287;0,428287;;;;
cols;cols;2;256;1024;1;1;1;0,0846111;0,0846111;;;;
cols;cols;2;256;1024;2;1;1;0,181771;0,181771;;;;
cols;cols;2;256;1024;5;1;1;0,433165;0,433165;;;;
cols;cols;2;256;1024;10;1;1;0,849468;0,849468;;;;
cols;cols;2;512;32;1;1;1;0,0054452;0,0054452;;;;
cols;cols;2;512;32;2;1;1;0,0140604;0,0140604;;;;
cols;cols;2;512;32;5;1;1;0,0327778;0,0327778;;;;
cols;cols;2;512;32;10;1;1;0,045259;0,045259;;;;
cols;cols;2;512;64;1;1;1;0,0100658;0,0100658;;;;
cols;cols;2;512;64;2;1;1;0,0181172;0,0181172;;;;
cols;cols;2;512;64;5;1;1;0,0420949;0,0420949;;;;
cols;cols;2;512;64;10;1;1;0,0824402;0,0824402;;;;
cols;cols;2;512;256;1;1;1;0,0406512;0,0406512;;;;
cols;cols;2;512;256;2;1;1;0,103377;0,103377;;;;
cols;cols;2;512;256;5;1;1;0,20366;0,20366;;;;
cols;cols;2;512;256;10;1;1;0,403582;0,403582;;;;
cols;cols;2;512;512;1;1;1;0,10002;0,10002;;;;
cols;cols;2;512;512;2;1;1;0,179439;0,179439;;;;
cols;cols;2;512;512;5;1;1;0,433628;0,433628;;;;
cols;cols;2;512;512;10;1;1;0,851372;0,851372;;;;
cols;cols;2;512;1024;1;1;1;0,172819;0,172819;;;;
cols;cols;2;512;1024;2;1;1;0,366631;0,366631;;;;
cols;cols;2;512;1024;5;1;1;0,871313;0,871313;;;;
cols;cols;2;512;1024;10;1;1;1,79158;1,79158;;;;
cols;cols;2;1024;32;1;1;1;0,0128724;0,0128724;;;;
cols;cols;2;1024;32;2;1;1;0,0149046;0,0149046;;;;
cols;cols;2;1024;32;5;1;1;0,0344757;0,0344757;;;;
cols;cols;2;1024;32;10;1;1;0,069543;0,069543;;;;
cols;cols;2;1024;64;1;1;1;0,016137;0,016137;;;;
cols;cols;2;1024;64;2;1;1;0,0305196;0,0305196;;;;
cols;cols;2;1024;64;5;1;1;0,0860358;0,0860358;;;;
cols;cols;2;1024;64;10;1;1;0,153661;0,153661;;;;
cols;cols;2;1024;256;1;1;1;0,0803973;0,0803973;;;;
cols;cols;2;1024;256;2;1;1;0,15853;0,15853;;;;
cols;cols;2;1024;256;5;1;1;0,409572;0,409572;;;;
cols;cols;2;1024;256;10;1;1;0,79317;0,79317;;;;
cols;cols;2;1024;512;1;1;1;0,16096;0,16096;;;;
cols;cols;2;1024;512;2;1;1;0,33582;0,33582;;;;
cols;cols;2;1024;512;5;1;1;0,808171;0,808171;;;;
cols;cols;2;1024;512;10;1;1;1,60864;1,60864;;;;
cols;cols;2;1024;1024;1;1;1;0,351327;0,351327;;;;
cols;cols;2;1024;1024;2;1;1;0,707786;0,707786;;;;
cols;cols;2;1024;1024;5;1;1;1,71568;1,71568;;;;
cols;cols;2;1024;1024;10;1;1;3,47655;3,47655;;;;
cols;cols;5;32;32;1;1;1;0,0022026;0,0022026;;;;
cols;cols;5;32;32;2;1;1;0,0023455;0,0023455;;;;
cols;cols;5;32;32;5;1;1;0,0033753;0,0033753;;;;
cols;cols;5;32;32;10;1;1;0,0068492;0,0068492;;;;
cols;cols;5;32;64;1;1;1;0,002449;0,002449;;;;
cols;cols;5;32;64;2;1;1;0,0030228;0,0030228;;;;
cols;cols;5;32;64;5;1;1;0,0050323;0,0050323;;;;
cols;cols;5;32;64;10;1;1;0,0126551;0,0126551;;;;
cols;cols;5;32;256;1;1;1;0,0043179;0,0043179;;;;
cols;cols;5;32;256;2;1;1;0,0106454;0,0106454;;;;
