strategy;nFotogramas;width;height;ns;nThreads;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;5;32;512;1;1;0,038023;0,037867
cols;5;32;512;2;1;0,0742956;0,0741359
cols;5;32;512;5;1;0,183382;0,183226
cols;5;32;512;10;1;0,366745;0,366584
cols;5;32;1024;1;1;0,0740401;0,0738586
cols;5;32;1024;2;1;0,14728;0,147091
cols;5;32;1024;5;1;0,36435;0,364173
cols;5;32;1024;10;1;0,729931;0,729759
cols;5;64;32;1;1;0,0043895;0,0042397
cols;5;64;32;2;1;0,007812;0,0076731
cols;5;64;32;5;1;0,0186244;0,0184724
cols;5;64;32;10;1;0,0360016;0,0358593
cols;5;64;64;1;1;0,0092055;0,0090627
cols;5;64;64;2;1;0,0173445;0,017201
cols;5;64;64;5;1;0,0421292;0,0419835
cols;5;64;64;10;1;0,0847495;0,0846044
cols;5;64;256;1;1;0,0370595;0,0368991
cols;5;64;256;2;1;0,0730429;0,0728865
cols;5;64;256;5;1;0,184776;0,18462
cols;5;64;256;10;1;0,35909;0,358934
cols;5;64;512;1;1;0,0761884;0,0760043
cols;5;64;512;2;1;0,148785;0,148615
cols;5;64;512;5;1;0,363915;0,363747
cols;5;64;512;10;1;0,731492;0,731321
cols;5;64;1024;1;1;0,149057;0,14886
cols;5;64;1024;2;1;0,303225;0,303027
cols;5;64;1024;5;1;0,739015;0,738807
cols;5;64;1024;10;1;1,46693;1,46669
cols;5;256;32;1;1;0,0129924;0,0128355
cols;5;256;32;2;1;0,0249693;0,0248237
cols;5;256;32;5;1;0,0608712;0,060723
cols;5;256;32;10;1;0,119723;0,119574
cols;5;256;64;1;1;0,026828;0,0266759
cols;5;256;64;2;1;0,0525558;0,0524014
cols;5;256;64;5;1;0,129716;0,129552
cols;5;256;64;10;1;0,256006;0,25585
cols;5;256;256;1;1;0,133527;0,13333
cols;5;256;256;2;1;0,265085;0,264886
cols;5;256;256;5;1;0,657852;0,657645
cols;5;256;256;10;1;1,31186;1,31166
cols;5;256;512;1;1;0,287514;0,287259
cols;5;256;512;2;1;0,574777;0,574522
cols;5;256;512;5;1;1,41845;1,41818
cols;5;256;512;10;1;2,82277;2,82251
cols;5;256;1024;1;1;0,578002;0,57764
cols;5;256;1024;2;1;1,14965;1,14928
cols;5;256;1024;5;1;2,85439;2,85403
cols;5;256;1024;10;1;5,69958;5,69921
cols;5;512;32;1;1;0,0232545;0,0230955
cols;5;512;32;2;1;0,0453519;0,0451984
cols;5;512;32;5;1;0,110768;0,110607
cols;5;512;32;10;1;0,220543;0,220384
cols;5;512;64;1;1;0,0497413;0,0495705
cols;5;512;64;2;1;0,097192;0,0970273
cols;5;512;64;5;1;0,239638;0,239466
cols;5;512;64;10;1;0,480861;0,480683
cols;5;512;256;1;1;0,229587;0,229339
cols;5;512;256;2;1;0,456203;0,455931
cols;5;512;256;5;1;1,13169;1,13142
cols;5;512;256;10;1;2,25495;2,25469
cols;5;512;512;1;1;0,530641;0,530282
cols;5;512;512;2;1;1,0506;1,05022
cols;5;512;512;5;1;2,62249;2,62212
cols;5;512;512;10;1;5,22917;5,22879
cols;5;512;1024;1;1;1,14749;1,14708
cols;5;512;1024;2;1;2,30362;2,30325
cols;5;512;1024;5;1;5,67954;5,67917
cols;5;512;1024;10;1;11,3281;11,3277
cols;5;1024;32;1;1;0,0389353;0,0387718
cols;5;1024;32;2;1;0,0760175;0,0758512
cols;5;1024;32;5;1;0,187152;0,186981
cols;5;1024;32;10;1;0,3721;0,371925
cols;5;1024;64;1;1;0,0900759;0,0898771
cols;5;1024;64;2;1;0,178096;0,177899
cols;5;1024;64;5;1;0,442456;0,442258
cols;5;1024;64;10;1;0,880238;0,880038
cols;5;1024;256;1;1;0,424321;0,423941
cols;5;1024;256;2;1;0,840382;0,840016
cols;5;1024;256;5;1;2,04961;2,04924
cols;5;1024;256;10;1;4,09891;4,09854
cols;5;1024;512;1;1;0,917455;0,91711
cols;5;1024;512;2;1;1,8164;1,81605
cols;5;1024;512;5;1;4,51327;4,51292
cols;5;1024;512;10;1;9,29963;9,29925
cols;5;1024;1024;1;1;2,21793;2,2171
cols;5;1024;1024;2;1;4,24648;4,24591
cols;5;1024;1024;5;1;10,5482;10,5476
cols;5;1024;1024;10;1;20,9796;20,979
cols;1;32;32;1;2;0,002221;0,0021725;;;;
cols;1;32;32;2;2;0,0030297;0,0029857;;;;
cols;1;32;32;5;2;0,006489;0,0064442;;;;
cols;1;32;32;10;2;0,0120994;0,012054;;;;
cols;1;32;64;1;2;0,0031744;0,0031272;;;;
cols;1;32;64;2;2;0,005413;0,0053638;;;;
cols;1;32;64;5;2;0,0120575;0,012009;;;;
cols;1;32;64;10;2;0,0235806;0,0235315;;;;
cols;1;32;256;1;2;0,0104855;0,0104308;;;;
cols;1;32;256;2;2;0,0202161;0,020158;;;;
cols;1;32;256;5;2;0,0486595;0,0486032;;;;
cols;1;32;256;10;2;0,0964597;0,0963998;;;;
cols;1;32;512;1;2;0,0203361;0,0202761;;;;
cols;1;32;512;2;2;0,0395768;0,0395136;;;;
cols;1;32;512;5;2;0,096232;0,0961689;;;;
cols;1;32;512;10;2;0,19324;0,193175;;;;
cols;1;32;1024;1;2;0,0389243;0,0387957;;;;
cols;1;32;1024;2;2;0,0756988;0,0756152;;;;
cols;1;32;1024;5;2;0,187557;0,187478;;;;
cols;1;32;1024;10;2;0,374377;0,3743;;;;
