threadsX;threadsY;width;height;ns;timer_seconds
8;8;32;1024;2;0.05
8;16;32;1024;2;0.051
8;32;32;1024;2;0.051
16;1;32;1024;2;0.094
16;4;32;1024;2;0.055
16;8;32;1024;2;0.057
16;16;32;1024;2;0.061
16;32;32;1024;2;0.065
32;1;32;1024;2;0.081
32;4;32;1024;2;0.061
32;8;32;1024;2;0.063
32;16;32;1024;2;0.066
32;32;32;1024;2;0.065
1;1;32;1024;5;0.765
1;4;32;1024;5;0.275
1;8;32;1024;5;0.172
1;16;32;1024;5;0.111
1;32;32;1024;5;0.078
4;1;32;1024;5;0.298
4;4;32;1024;5;0.116
4;8;32;1024;5;0.08
4;16;32;1024;5;0.065
4;32;32;1024;5;0.063
8;1;32;1024;5;0.183
8;4;32;1024;5;0.079
8;8;32;1024;5;0.065
8;16;32;1024;5;0.064
8;32;32;1024;5;0.066
16;1;32;1024;5;0.119
16;4;32;1024;5;0.073
16;8;32;1024;5;0.073
16;16;32;1024;5;0.077
16;32;32;1024;5;0.082
32;1;32;1024;5;0.105
32;4;32;1024;5;0.072
32;8;32;1024;5;0.074
32;16;32;1024;5;0.075
32;32;32;1024;5;0.075
1;1;32;1024;10;1.09
1;4;32;1024;10;0.378
1;8;32;1024;10;0.234
1;16;32;1024;10;0.151
1;32;32;1024;10;0.106
4;1;32;1024;10;0.402
4;4;32;1024;10;0.161
4;8;32;1024;10;0.109
4;16;32;1024;10;0.091
4;32;32;1024;10;0.086
8;1;32;1024;10;0.246
8;4;32;1024;10;0.11
8;8;32;1024;10;0.095
8;16;32;1024;10;0.089
8;32;32;1024;10;0.089
16;1;32;1024;10;0.162
16;4;32;1024;10;0.094
16;8;32;1024;10;0.09
16;16;32;1024;10;0.095
16;32;32;1024;10;0.093
32;1;32;1024;10;0.113
32;4;32;1024;10;0.088
32;8;32;1024;10;0.094
32;16;32;1024;10;0.09
32;32;32;1024;10;0.095
1;1;64;32;1;0.037
1;4;64;32;1;0.024
1;8;64;32;1;0.02
1;16;64;32;1;0.021
1;32;64;32;1;0.02
4;1;64;32;1;0.03
4;4;64;32;1;0.029
4;8;64;32;1;0.029
4;16;64;32;1;0.03
4;32;64;32;1;0.029
8;1;64;32;1;0.029
8;4;64;32;1;0.029
8;8;64;32;1;0.029
8;16;64;32;1;0.029
8;32;64;32;1;0.031
16;1;64;32;1;0.029
16;4;64;32;1;0.03
16;8;64;32;1;0.029
16;16;64;32;1;0.029
16;32;64;32;1;0.03
32;1;64;32;1;0.03
32;4;64;32;1;0.03
32;8;64;32;1;0.032
32;16;64;32;1;0.029
32;32;64;32;1;0.029
1;1;64;32;2;0.048
1;4;64;32;2;0.032
1;8;64;32;2;0.027
1;16;64;32;2;0.026
1;32;64;32;2;0.026
4;1;64;32;2;0.041
4;4;64;32;2;0.032
4;8;64;32;2;0.033
4;16;64;32;2;0.033
4;32;64;32;2;0.034
8;1;64;32;2;0.032
8;4;64;32;2;0.034
8;8;64;32;2;0.033
8;16;64;32;2;0.033
8;32;64;32;2;0.034
16;1;64;32;2;0.033
16;4;64;32;2;0.034
16;8;64;32;2;0.035
16;16;64;32;2;0.034
16;32;64;32;2;0.035
32;1;64;32;2;0.033
32;4;64;32;2;0.034
32;8;64;32;2;0.035
32;16;64;32;2;0.034
32;32;64;32;2;0.034
1;1;64;32;5;0.061
1;4;64;32;5;0.043
1;8;64;32;5;0.037
1;16;64;32;5;0.036
1;32;64;32;5;0.036
4;1;64;32;5;0.053
4;4;64;32;5;0.046
4;8;64;32;5;0.047
4;16;64;32;5;0.046
4;32;64;32;5;0.047
8;1;64;32;5;0.046
8;4;64;32;5;0.047
8;8;64;32;5;0.047
8;16;64;32;5;0.047
8;32;64;32;5;0.047
16;1;64;32;5;0.051
16;4;64;32;5;0.054
16;8;64;32;5;0.053
16;16;64;32;5;0.054
16;32;64;32;5;0.055
32;1;64;32;5;0.053
32;4;64;32;5;0.052
32;8;64;32;5;0.053
32;16;64;32;5;0.053
32;32;64;32;5;0.053
1;1;64;32;10;0.081
1;4;64;32;10;0.057
1;8;64;32;10;0.053
1;16;64;32;10;0.053
1;32;64;32;10;0.052
4;1;64;32;10;0.082
4;4;64;32;10;0.078
4;8;64;32;10;0.078
4;16;64;32;10;0.079
4;32;64;32;10;0.079
8;1;64;32;10;0.075
8;4;64;32;10;0.078
8;8;64;32;10;0.08
8;16;64;32;10;0.077
8;32;64;32;10;0.078
16;1;64;32;10;0.084
16;4;64;32;10;0.087
16;8;64;32;10;0.084
16;16;64;32;10;0.083
16;32;64;32;10;0.084
32;1;64;32;10;0.082
32;4;64;32;10;0.081
32;8;64;32;10;0.085
32;16;64;32;10;0.086
32;32;64;32;10;0.084
1;1;64;64;1;0.074
1;4;64;64;1;0.044
1;8;64;64;1;0.034
1;16;64;64;1;0.028
1;32;64;64;1;0.029
4;1;64;64;1;0.051
4;4;64;64;1;0.033
4;8;64;64;1;0.032
4;16;64;64;1;0.033
4;32;64;64;1;0.032
8;1;64;64;1;0.039
8;4;64;64;1;0.033
8;8;64;64;1;0.032
8;16;64;64;1;0.032
8;32;64;64;1;0.032
16;1;64;64;1;0.031
16;4;64;64;1;0.033
16;8;64;64;1;0.032
16;16;64;64;1;0.033
16;32;64;64;1;0.033
32;1;64;64;1;0.032
32;4;64;64;1;0.031
32;8;64;64;1;0.031
32;16;64;64;1;0.032
32;32;64;64;1;0.031
1;1;64;64;2;0.094
1;4;64;64;2;0.051
1;8;64;64;2;0.04
1;16;64;64;2;0.034
1;32;64;64;2;0.035
4;1;64;64;2;0.059
4;4;64;64;2;0.04
4;8;64;64;2;0.04
4;16;64;64;2;0.041
4;32;64;64;2;0.04
8;1;64;64;2;0.046
8;4;64;64;2;0.041
8;8;64;64;2;0.042
8;16;64;64;2;0.041
8;32;64;64;2;0.04
16;1;64;64;2;0.039
16;4;64;64;2;0.042
16;8;64;64;2;0.043
16;16;64;64;2;0.042
16;32;64;64;2;0.042
32;1;64;64;2;0.039
32;4;64;64;2;0.039
32;8;64;64;2;0.039
32;16;64;64;2;0.04
32;32;64;64;2;0.04
1;1;64;64;5;0.121
1;4;64;64;5;0.057
1;8;64;64;5;0.048
1;16;64;64;5;0.042
1;32;64;64;5;0.041
4;1;64;64;5;0.065
4;4;64;64;5;0.051
4;8;64;64;5;0.065
4;16;64;64;5;0.065
4;32;64;64;5;0.064
8;1;64;64;5;0.066
8;4;64;64;5;0.074
8;8;64;64;5;0.073
8;16;64;64;5;0.075
8;32;64;64;5;0.073
16;1;64;64;5;0.061
16;4;64;64;5;0.074
16;8;64;64;5;0.076
16;16;64;64;5;0.074
16;32;64;64;5;0.074
32;1;64;64;5;0.063
32;4;64;64;5;0.063
32;8;64;64;5;0.061
32;16;64;64;5;0.062
32;32;64;64;5;0.064
1;1;64;64;10;0.164
1;4;64;64;10;0.087
1;8;64;64;10;0.075
1;16;64;64;10;0.069
1;32;64;64;10;0.068
4;1;64;64;10;0.111
4;4;64;64;10;0.082
4;8;64;64;10;0.084
4;16;64;64;10;0.084
4;32;64;64;10;0.083
8;1;64;64;10;0.087
8;4;64;64;10;0.104
8;8;64;64;10;0.096
8;16;64;64;10;0.093
8;32;64;64;10;0.094
16;1;64;64;10;0.079
16;4;64;64;10;0.092
16;8;64;64;10;0.094
16;16;64;64;10;0.092
16;32;64;64;10;0.094
32;1;64;64;10;0.085
32;4;64;64;10;0.083
32;8;64;64;10;0.085
32;16;64;64;10;0.097
32;32;64;64;10;0.086
