strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;2;512;32;10;1;0,219713;0,219713;;;;
cols;2;512;64;1;1;0,048923;0,048923;;;;
cols;2;512;64;2;1;0,0964386;0,0964386;;;;
cols;2;512;64;5;1;0,241607;0,241607;;;;
cols;2;512;64;10;1;0,478591;0,478591;;;;
cols;2;512;256;1;1;0,228508;0,228508;;;;
cols;2;512;256;2;1;0,454294;0,454294;;;;
cols;2;512;256;5;1;1,13342;1,13342;;;;
cols;2;512;256;10;1;2,26052;2,26052;;;;
cols;2;512;512;1;1;0,530178;0,530178;;;;
cols;2;512;512;2;1;1,06107;1,06107;;;;
cols;2;512;512;5;1;2,61789;2,61789;;;;
cols;2;512;512;10;1;5,22599;5,22599;;;;
cols;2;512;1024;1;1;1,14546;1,14546;;;;
cols;2;512;1024;2;1;2,27482;2,27482;;;;
cols;2;512;1024;5;1;5,67318;5,67318;;;;
cols;2;512;1024;10;1;11,2984;11,2984;;;;
cols;2;1024;32;1;1;0,038372;0,038372;;;;
cols;2;1024;32;2;1;0,0752979;0,0752979;;;;
cols;2;1024;32;5;1;0,186847;0,186847;;;;
cols;2;1024;32;10;1;0,370659;0,370659;;;;
cols;2;1024;64;1;1;0,0933024;0,0933024;;;;
cols;2;1024;64;2;1;0,176872;0,176872;;;;
cols;2;1024;64;5;1;0,442718;0,442718;;;;
cols;2;1024;64;10;1;0,873013;0,873013;;;;
cols;2;1024;256;1;1;0,414887;0,414887;;;;
cols;2;1024;256;2;1;0,823944;0,823944;;;;
cols;2;1024;256;5;1;2,04636;2,04636;;;;
cols;2;1024;256;10;1;4,1055;4,1055;;;;
cols;2;1024;512;1;1;0,917012;0,917012;;;;
cols;2;1024;512;2;1;1,82642;1,82642;;;;
cols;2;1024;512;5;1;4,525;4,525;;;;
cols;2;1024;512;10;1;9,05902;9,05902;;;;
cols;2;1024;1024;1;1;2,12001;2,12001;;;;
cols;2;1024;1024;2;1;4,21065;4,21065;;;;
cols;2;1024;1024;5;1;10,4587;10,4587;;;;
cols;2;1024;1024;10;1;20,9458;20,9458;;;;
cols;5;32;32;1;1;0,0024941;0,0024941;;;;
cols;5;32;32;2;1;0,0047424;0,0047424;;;;
cols;5;32;32;5;1;0,0105205;0,0105205;;;;
cols;5;32;32;10;1;0,0212656;0,0212656;;;;
cols;5;32;64;1;1;0,0048098;0,0048098;;;;
cols;5;32;64;2;1;0,0094889;0,0094889;;;;
cols;5;32;64;5;1;0,0251856;0,0251856;;;;
cols;5;32;64;10;1;0,04461;0,04461;;;;
cols;5;32;256;1;1;0,0188731;0,0188731;;;;
cols;5;32;256;2;1;0,0367599;0,0367599;;;;
cols;5;32;256;5;1;0,0909295;0,0909295;;;;
cols;5;32;256;10;1;0,18192;0,18192;;;;
cols;5;32;512;1;1;0,0374038;0,0374038;;;;
cols;5;32;512;2;1;0,0736473;0,0736473;;;;
cols;5;32;512;5;1;0,183698;0,183698;;;;
cols;5;32;512;10;1;0,365911;0,365911;;;;
cols;5;32;1024;1;1;0,0737567;0,0737567;;;;
cols;5;32;1024;2;1;0,146869;0,146869;;;;
