strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;3;256;32;1;1;4;0,0009673;0,0009673;;;;
cols;cols;3;256;32;3;1;4;0,0019969;0,0019969;;;;
cols;cols;3;256;32;10;1;4;0,005629;0,005629;;;;
cols;cols;3;256;256;1;1;4;0,0063216;0,0063216;;;;
cols;cols;3;256;256;3;1;4;0,0172945;0,0172945;;;;
cols;cols;3;256;256;10;1;4;0,0565141;0,0565141;;;;
cols;cols;3;256;512;1;1;4;0,0125731;0,0125731;;;;
cols;cols;3;256;512;3;1;4;0,0354715;0,0354715;;;;
cols;cols;3;256;512;10;1;4;0,119795;0,119795;;;;
cols;cols;3;256;1024;1;1;4;0,0239325;0,0239325;;;;
cols;cols;3;256;1024;3;1;4;0,0686231;0,0686231;;;;
cols;cols;3;256;1024;10;1;4;0,229834;0,229834;;;;
cols;cols;3;512;32;1;1;4;0,0014415;0,0014415;;;;
cols;cols;3;512;32;3;1;4;0,0031842;0,0031842;;;;
cols;cols;3;512;32;10;1;4;0,0098898;0,0098898;;;;
cols;cols;3;512;256;1;1;4;0,0117623;0,0117623;;;;
cols;cols;3;512;256;3;1;4;0,0344418;0,0344418;;;;
cols;cols;3;512;256;10;1;4;0,111915;0,111915;;;;
cols;cols;3;512;512;1;1;4;0,0236365;0,0236365;;;;
cols;cols;3;512;512;3;1;4;0,0675348;0,0675348;;;;
cols;cols;3;512;512;10;1;4;0,232556;0,232556;;;;
cols;cols;3;512;1024;1;1;4;0,0485967;0,0485967;;;;
cols;cols;3;512;1024;3;1;4;0,141257;0,141257;;;;
cols;cols;3;512;1024;10;1;4;0,470605;0,470605;;;;
cols;cols;3;1024;32;1;1;4;0,0020766;0,0020766;;;;
cols;cols;3;1024;32;3;1;4;0,0055516;0,0055516;;;;
cols;cols;3;1024;32;10;1;4;0,0168616;0,0168616;;;;
cols;cols;3;1024;256;1;1;4;0,0188123;0,0188123;;;;
cols;cols;3;1024;256;3;1;4;0,0559443;0,0559443;;;;
cols;cols;3;1024;256;10;1;4;0,184389;0,184389;;;;
cols;cols;3;1024;512;1;1;4;0,0465648;0,0465648;;;;
cols;cols;3;1024;512;3;1;4;0,134413;0,134413;;;;
cols;cols;3;1024;512;10;1;4;0,443719;0,443719;;;;
cols;cols;3;1024;1024;1;1;4;0,0921561;0,0921561;;;;
cols;cols;3;1024;1024;3;1;4;0,290423;0,290423;;;;
cols;cols;3;1024;1024;10;1;4;0,890436;0,890436;;;;
cols;cols;1;32;32;1;1;8;0,0006739;0,0006739;;;;
cols;cols;1;32;32;3;1;8;0,0007196;0,0007196;;;;
cols;cols;1;32;32;10;1;8;0,0010858;0,0010858;;;;
cols;cols;1;32;256;1;1;8;0,0010185;0,0010185;;;;
cols;cols;1;32;256;3;1;8;0,0023589;0,0023589;;;;
cols;cols;1;32;256;10;1;8;0,0062292;0,0062292;;;;
cols;cols;1;32;512;1;1;8;0,0014746;0,0014746;;;;
cols;cols;1;32;512;3;1;8;0,0040847;0,0040847;;;;
cols;cols;1;32;512;10;1;8;0,0112905;0,0112905;;;;
cols;cols;1;32;1024;1;1;8;0,003024;0,003024;;;;
cols;cols;1;32;1024;3;1;8;0,0069078;0,0069078;;;;
cols;cols;1;32;1024;10;1;8;0,0224621;0,0224621;;;;
cols;cols;1;256;32;1;1;8;0,0009508;0,0009508;;;;
cols;cols;1;256;32;3;1;8;0,0015928;0,0015928;;;;
cols;cols;1;256;32;10;1;8;0,0043137;0,0043137;;;;
cols;cols;1;256;256;1;1;8;0,0056163;0,0056163;;;;
cols;cols;1;256;256;3;1;8;0,0151636;0,0151636;;;;
cols;cols;1;256;256;10;1;8;0,0481629;0,0481629;;;;
cols;cols;1;256;512;1;1;8;0,0070908;0,0070908;;;;
cols;cols;1;256;512;3;1;8;0,025606;0,025606;;;;
cols;cols;1;256;512;10;1;8;0,068943;0,068943;;;;
cols;cols;1;256;1024;1;1;8;0,0181451;0,0181451;;;;
cols;cols;1;256;1024;3;1;8;0,0456834;0,0456834;;;;
cols;cols;1;256;1024;10;1;8;0,124912;0,124912;;;;
cols;cols;1;512;32;1;1;8;0,0011992;0,0011992;;;;
cols;cols;1;512;32;3;1;8;0,00281;0,00281;;;;
cols;cols;1;512;32;10;1;8;0,0090521;0,0090521;;;;
cols;cols;1;512;256;1;1;8;0,0066601;0,0066601;;;;
cols;cols;1;512;256;3;1;8;0,0191963;0,0191963;;;;
cols;cols;1;512;256;10;1;8;0,0567657;0,0567657;;;;
cols;cols;1;512;512;1;1;8;0,0138623;0,0138623;;;;
cols;cols;1;512;512;3;1;8;0,051918;0,051918;;;;
cols;cols;1;512;512;10;1;8;0,14197;0,14197;;;;
cols;cols;1;512;1024;1;1;8;0,0345684;0,0345684;;;;
cols;cols;1;512;1024;3;1;8;0,0801096;0,0801096;;;;
cols;cols;1;512;1024;10;1;8;0,277316;0,277316;;;;
cols;cols;1;1024;32;1;1;8;0,0021942;0,0021942;;;;
cols;cols;1;1024;32;3;1;8;0,0033569;0,0033569;;;;
cols;cols;1;1024;32;10;1;8;0,0128347;0,0128347;;;;
cols;cols;1;1024;256;1;1;8;0,0130482;0,0130482;;;;
cols;cols;1;1024;256;3;1;8;0,0343711;0,0343711;;;;
cols;cols;1;1024;256;10;1;8;0,147632;0,147632;;;;
cols;cols;1;1024;512;1;1;8;0,0360301;0,0360301;;;;
cols;cols;1;1024;512;3;1;8;0,0702154;0,0702154;;;;
cols;cols;1;1024;512;10;1;8;0,257694;0,257694;;;;
cols;cols;1;1024;1024;1;1;8;0,053176;0,053176;;;;
cols;cols;1;1024;1024;3;1;8;0,175178;0,175178;;;;
cols;cols;1;1024;1024;10;1;8;0,520612;0,520612;;;;
cols;cols;2;32;32;1;1;8;0,0006934;0,0006934;;;;
cols;cols;2;32;32;3;1;8;0,000736;0,000736;;;;
cols;cols;2;32;32;10;1;8;0,0011979;0,0011979;;;;
cols;cols;2;32;256;1;1;8;0,0009858;0,0009858;;;;
cols;cols;2;32;256;3;1;8;0,0027776;0,0027776;;;;
cols;cols;2;32;256;10;1;8;0,0047666;0,0047666;;;;
cols;cols;2;32;512;1;1;8;0,0019842;0,0019842;;;;
cols;cols;2;32;512;3;1;8;0,0040131;0,0040131;;;;
cols;cols;2;32;512;10;1;8;0,0085392;0,0085392;;;;
cols;cols;2;32;1024;1;1;8;0,0028796;0,0028796;;;;
cols;cols;2;32;1024;3;1;8;0,0075348;0,0075348;;;;
cols;cols;2;32;1024;10;1;8;0,0152522;0,0152522;;;;
cols;cols;2;256;32;1;1;8;0,0011128;0,0011128;;;;
cols;cols;2;256;32;3;1;8;0,0017832;0,0017832;;;;
cols;cols;2;256;32;10;1;8;0,0041452;0,0041452;;;;
cols;cols;2;256;256;1;1;8;0,0058579;0,0058579;;;;
cols;cols;2;256;256;3;1;8;0,0100741;0,0100741;;;;
cols;cols;2;256;256;10;1;8;0,042971;0,042971;;;;
cols;cols;2;256;512;1;1;8;0,0087609;0,0087609;;;;
cols;cols;2;256;512;3;1;8;0,0300572;0,0300572;;;;
cols;cols;2;256;512;10;1;8;0,0676956;0,0676956;;;;
cols;cols;2;256;1024;1;1;8;0,018813;0,018813;;;;
cols;cols;2;256;1024;3;1;8;0,0532885;0,0532885;;;;
cols;cols;2;256;1024;10;1;8;0,138529;0,138529;;;;
cols;cols;2;512;32;1;1;8;0,0011382;0,0011382;;;;
cols;cols;2;512;32;3;1;8;0,0019693;0,0019693;;;;
cols;cols;2;512;32;10;1;8;0,0072152;0,0072152;;;;
cols;cols;2;512;256;1;1;8;0,0098889;0,0098889;;;;
cols;cols;2;512;256;3;1;8;0,0275687;0,0275687;;;;
cols;cols;2;512;256;10;1;8;0,0565047;0,0565047;;;;
cols;cols;2;512;512;1;1;8;0,0177694;0,0177694;;;;
cols;cols;2;512;512;3;1;8;0,0554304;0,0554304;;;;
cols;cols;2;512;512;10;1;8;0,134105;0,134105;;;;
cols;cols;2;512;1024;1;1;8;0,0342079;0,0342079;;;;
cols;cols;2;512;1024;3;1;8;0,0757807;0,0757807;;;;
cols;cols;2;512;1024;10;1;8;0,267787;0,267787;;;;
cols;cols;2;1024;32;1;1;8;0,0016098;0,0016098;;;;
cols;cols;2;1024;32;3;1;8;0,0032954;0,0032954;;;;
cols;cols;2;1024;32;10;1;8;0,0095665;0,0095665;;;;
cols;cols;2;1024;256;1;1;8;0,0122689;0,0122689;;;;
cols;cols;2;1024;256;3;1;8;0,0349027;0,0349027;;;;
cols;cols;2;1024;256;10;1;8;0,113075;0,113075;;;;
cols;cols;2;1024;512;1;1;8;0,02869;0,02869;;;;
cols;cols;2;1024;512;3;1;8;0,101451;0,101451;;;;
cols;cols;2;1024;512;10;1;8;0,24326;0,24326;;;;
cols;cols;2;1024;1024;1;1;8;0,0645158;0,0645158;;;;
cols;cols;2;1024;1024;3;1;8;0,154755;0,154755;;;;
cols;cols;2;1024;1024;10;1;8;0,526408;0,526408;;;;
cols;cols;3;32;32;1;1;8;0,0006094;0,0006094;;;;
